ADPRHL1	13	113124260	113155840
ADPRHL2	1	36327072	36332120
ADRA1A	8	26683138	26778839
ADRA1B	5	159276317	159332595
ADRA1D	20	4149277	4177659
ADRA2A	10	112826910	112830560
ADRA2B	2	96142349	96145615
ADRA2C	4	3738093	3740051
ADRB1	10	115793795	115796657
ADRB2	5	148186348	148188381
ADRB3	8	37939672	37943341
ADRM1	20	60313756	60315185
ADSL	22	39084813	39089021
ADSS	1	242652759	242682036
ADSSL1	14	104267272	104284692
AEBP1	7	44117277	44120684
AEBP2	12	19484781	19566440
AEN	15	86970380	86976516
AES	19	3003980	3013964
AFAP1L1	5	148675395	148701558
AFAP1L2	10	116049008	116154505
AFF1	4	88224287	88281215
AFF2	X	147389830	147889899
AFF3	2	99989042	99990845
AFF4	5	132290317	132327253
AFG3L2	18	12319107	12367194
AFM	4	74566325	74588582
AFMID	17	73695031	73715377
AFP	4	74520796	74540356
AFTPH	2	64632080	64673642
AGA	4	178592588	178597836
AGAP1	2	236243562	236243590
AGAP2	12	56405260	56422207
AGAP3	7	150467587	150472456
AGAP4	10	45641055	45669331
AGAP5	10	75104061	75160269
AGAP6	10	51418083	51440265
AGBL1	15	84606859	84640450
AGBL2	11	47646968	47692878
AGBL3	7	134321900	134451160
AGBL4	1	48822128	49284059
AGBL5	2	27127994	27146994
AGFG1	2	228045285	228130546
AGFG2	7	99985954	100003779
AGGF1	5	76362069	76371300
AGK	7	140897546	141000678
AGL	1	100099353	100162167
AGMAT	1	15771738	15784192
AGPAT2	9	138687415	138701732
AGPAT3	21	44203942	44231903
AGPAT4	6	161490226	161573324
AGPAT5	8	6553285	6606429
AGPS	2	177965716	178116810
AGR2	7	16797959	16811133
AGR3	7	16865554	16888138
AGRN	1	945365	981355
AGRP	16	66073974	66075217
AGT	1	228904891	228916959
AGTPBP1	9	87351273	87546764
AGTR1	3	149941512	149942592
AGTR2	X	115217561	115218653
AGTRAP	1	11718728	11733415
AGXT	2	241465002	241467209
AGXT2	5	35033962	35083756
AHCTF1	1	245079539	245107006
AHCY	20	32344932	32354784
AHCYL1	1	110348275	110367887
AHCYL2	7	128795300	128854741
AHDC1	1	27749966	27802948
AHI1	6	135750615	135860576
AHNAK	11	62039949	62070908
AHNAK2	14	104474635	104515739
